  2.3739801e+02  3.5849403e+02  5.9589204e+02
  2.2630331e+02  3.3311308e+02  5.5941639e+02
  2.2937836e+02  3.5651196e+02  5.8589032e+02
  2.3450581e+02  3.6031715e+02  5.9482296e+02
  2.4391692e+02  3.5839280e+02  6.0230973e+02
  2.1961589e+02  3.2111374e+02  5.4072963e+02
  2.2314835e+02  3.5528149e+02  5.7842984e+02
  2.4795885e+02  3.5393848e+02  6.0189732e+02
  2.3559755e+02  3.6373294e+02  5.9933049e+02
  2.4143277e+02  3.6180095e+02  6.0323372e+02
  2.4379803e+02  3.8802332e+02  6.3182134e+02
  2.3603129e+02  3.4205025e+02  5.7808154e+02
  2.1209098e+02  3.3158836e+02  5.4367933e+02
  2.1166565e+02  3.2776914e+02  5.3943479e+02
  2.2603847e+02  3.0572138e+02  5.3175984e+02
  2.2940504e+02  3.3848052e+02  5.6788556e+02
  2.2469863e+02  3.4434145e+02  5.6904008e+02
  2.2804214e+02  3.4181481e+02  5.6985695e+02
  2.2523089e+02  3.5861462e+02  5.8384551e+02
  2.2119479e+02  3.7755123e+02  5.9874602e+02
  2.2308161e+02  3.7829787e+02  6.0137948e+02
  2.1830140e+02  3.3861912e+02  5.5692051e+02
  2.2011902e+02  3.4831390e+02  5.6843293e+02
  2.4121364e+02  3.4153797e+02  5.8275161e+02
  2.3863779e+02  3.7534450e+02  6.1398229e+02
  2.4887236e+02  3.5374538e+02  6.0261774e+02
  2.2652495e+02  3.4612605e+02  5.7265100e+02
  2.7085038e+02  4.1553347e+02  6.8638385e+02
  2.2289456e+02  3.6726509e+02  5.9015965e+02
  2.1505906e+02  3.4983814e+02  5.6489721e+02
  2.0875027e+02  3.4799371e+02  5.5674398e+02
  2.0531063e+02  3.8066960e+02  5.8598023e+02
  2.1502213e+02  3.6957117e+02  5.8459330e+02
  2.3292559e+02  3.8795509e+02  6.2088069e+02
  2.2151355e+02  3.8105491e+02  6.0256846e+02
  1.9952236e+02  3.4201203e+02  5.4153439e+02
