    0    0    0      0.00000000e+00      1.40000007e+02      1.40000007e+02
    1    0    0      6.00965065e-01      1.92238165e-01     -1.68703832e-01
    1    1    0      8.49892945e-01      3.46336399e-01     -3.22634823e-01
    1    1    1      1.04090203e+00      4.43557929e-01     -4.18440561e-01
    2    0    0      1.20193013e+00      4.87820519e-01     -4.62140209e-01
    2    1    0      1.34379874e+00      4.93220412e-01     -4.65917446e-01
    2    1    1      1.47205776e+00      4.75543748e-01     -4.46761866e-01
    2    2    0      1.69978589e+00      4.20721269e-01     -3.89894661e-01
    2    2    1      1.80289519e+00      3.91456114e-01     -3.59900048e-01
    2    2    2      2.08180405e+00      3.19371297e-01     -2.83742455e-01
    3    0    0      1.80289519e+00      3.88998782e-01     -3.57979064e-01
    3    1    0      1.90041840e+00      3.65149348e-01     -3.31618183e-01
    3    1    1      1.99317563e+00      3.41659093e-01     -3.07030714e-01
    3    2    0      2.16681036e+00      3.01304576e-01     -2.64118178e-01
    3    2    1      2.24860537e+00      2.83694297e-01     -2.45582393e-01
    3    2    2      2.47784244e+00      2.44303030e-01     -2.01190709e-01
    3    3    0      2.54967884e+00      2.34716862e-01     -1.90219008e-01
    3    3    1      2.61954599e+00      2.25544702e-01     -1.79218729e-01
    3    3    2      2.81877601e+00      2.04635013e-01     -1.52665944e-01
    3    3    3      3.12270608e+00      1.85031239e-01     -1.22553056e-01
    4    0    0      2.40386026e+00      2.55613496e-01     -2.14602702e-01
    4    1    0      2.47784244e+00      2.44756789e-01     -2.01592300e-01
    4    1    1      2.54967884e+00      2.34350146e-01     -1.89487521e-01
    4    2    0      2.68759747e+00      2.18269817e-01     -1.69883053e-01
    4    2    1      2.75396790e+00      2.11068442e-01     -1.61039864e-01
    4    2    2      2.94411552e+00      1.95198762e-01     -1.39392891e-01
    4    3    0      3.00482532e+00      1.91431836e-01     -1.33097876e-01
    4    3    1      3.06433259e+00      1.87478109e-01     -1.27237010e-01
    4    3    2      3.23629592e+00      1.80181444e-01     -1.12754153e-01
    4    3    3      3.50419838e+00      1.73730395e-01     -9.40524075e-02
    4    4    0      3.39957178e+00      1.75350773e-01     -1.01150964e-01
    4    4    1      3.45228146e+00      1.74563666e-01     -9.73807460e-02
    4    4    2      3.60579039e+00      1.73388167e-01     -8.83284260e-02
    4    4    3      3.84805397e+00      1.75281529e-01     -7.55436513e-02
    4    4    4      4.16360810e+00      1.83497486e-01     -6.04762674e-02
